2023-08-04,68800,69100,68200,68300
2023-08-07,67700,69200,67600,68500
2023-08-08,69000,69100,67400,67600
2023-08-09,68000,69600,67900,68900
2023-08-10,68300,68500,67800,68000
2023-08-11,68400,68800,67500,67500
2023-08-14,67500,67900,66900,67300
2023-08-16,66700,67100,66300,67000
2023-08-17,66300,66800,66000,66700
2023-08-18,66000,66700,65800,66300
2023-08-21,66600,67100,66300,66600
2023-08-22,67200,67700,66300,66600
2023-08-23,66700,67100,66400,67100
2023-08-24,68300,68700,67900,68200
2023-08-25,67100,67400,66900,67100
2023-08-28,66800,67000,66500,66800
2023-08-29,66900,67200,66600,66800
2023-08-30,67300,67700,67100,67100
2023-08-31,67100,67200,66400,66900
2023-09-01,66800,71000,66700,71000
2023-09-04,72900,72900,70700,71200
2023-09-05,70900,71500,70200,70700
2023-09-06,70700,70800,69700,70000
2023-09-07,70000,70600,69600,70400
2023-09-08,70200,70300,69600,70300
2023-09-11,70400,70800,70000,70800
2023-09-12,70800,71000,70400,70500
2023-09-13,71100,71600,70300,70900
2023-09-14,71200,71800,70800,71700
2023-09-15,71700,72300,71400,72000
2023-09-18,71300,71700,70200,70200
2023-09-19,70400,70800,69600,69800
2023-09-20,70000,70300,69500,69600
2023-09-21,69200,69800,68800,68900
2023-09-22,68300,68900,68300,68800
2023-09-25,68500,69700,68500,69400
2023-09-26,70000,70000,68400,68600
2023-09-27,68600,69100,68200,68400
2023-10-04,67400,67700,66700,67500
2023-10-05,67300,67400,66700,66700
2023-10-06,67100,67300,66000,66000
2023-10-10,66200,67600,66200,66400
2023-10-11,68600,69400,67900,68200
2023-10-12,68600,69700,68200,68900
2023-10-13,68000,68500,67700,68000
2023-10-16,67900,68500,66800,67300
2023-10-17,67700,69900,67400,69400
2023-10-18,68900,70500,68800,70500
2023-10-19,69700,70000,69400,69500
2023-10-20,68900,69200,68100,68800
2023-10-23,68700,69100,68200,68400
2023-10-24,68700,68800,67700,68500
2023-10-25,68800,68800,67900,68000
2023-10-26,67000,67900,66700,66700
2023-10-27,67100,67300,66700,67300
2023-10-30,66800,67800,66700,67300
2023-10-31,67600,68300,66900,66900
2023-11-01,67500,68900,67300,68600
2023-11-02,70000,70000,69400,69700
2023-11-03,69700,70200,69500,69600
2023-11-06,69800,70900,69300,70900
2023-11-07,70600,70900,70000,70900
2023-11-08,71300,71400,69700,69900
2023-11-09,69900,70800,69600,70300
2023-11-10,70000,70500,69500,70500
2023-11-13,71300,71300,70300,70400
2023-11-14,71000,71100,70600,70800
2023-11-15,71600,72200,71500,72200
2023-11-16,72500,73000,72300,72800
2023-11-17,72300,73000,72300,72500
2023-11-20,72100,73000,72100,72700
2023-11-21,73100,73400,72700,72800
2023-11-22,72200,73000,71900,72800
2023-11-23,73000,73200,72200,72400
2023-11-24,72400,72600,71700,71700
2023-11-27,71500,72100,71100,71300
2023-11-28,71400,72700,71300,72700
2023-11-29,72400,72800,72200,72700
2023-11-30,72700,72800,72200,72800
