,Open,High,Low,Close
2023-01-03,142.550003,143.710007,142.089996,143.600006
2023-01-04,143.419998,144.050003,142.070007,143.759995
2023-01-05,143.460007,144.130005,142.649994,143.270004
2023-01-06,144.600006,147.550003,144.240005,146.779999
2023-01-09,146.320007,147.860001,144.800003,144.949997
2023-01-10,144.940002,145.449997,143.729996,144.860001
2023-01-11,145.740005,146.179993,144.729996,146.130005
2023-01-12,146.410004,146.419998,144.389999,144.809998
2023-01-13,145.529999,145.820007,143.860001,145.289993
2023-01-17,145.289993,145.710007,144.199997,144.410004
2023-01-18,144.199997,144.25,140.479996,140.839996
2023-01-19,141.389999,141.529999,138.789993,138.830002
2023-01-20,139.399994,140.779999,138.169998,140.539993
2023-01-23,140.460007,143.009995,140.199997,142.639999
2023-01-24,146.550003,146.550003,141.0,143.020004
2023-01-25,142.240005,142.839996,140.389999,142.339996
2023-01-26,143.029999,143.75,141.759995,142.210007
2023-01-27,142.600006,144.470001,141.75,143.300003
2023-01-30,142.119995,142.449997,141.270004,142.149994
2023-01-31,142.320007,143.880005,141.660004,143.869995
2023-02-01,143.660004,145.610001,142.699997,144.669998
2023-02-02,144.410004,144.860001,142.940002,143.619995
2023-02-03,143.360001,143.960007,140.860001,141.710007
2023-02-06,141.820007,142.100006,140.029999,140.679993
2023-02-07,139.770004,141.300003,138.690002,140.979996
2023-02-08,140.330002,141.100006,139.990005,140.220001
2023-02-09,140.869995,141.940002,140.570007,141.520004
2023-02-10,143.089996,143.940002,142.169998,143.720001
2023-02-13,144.710007,146.119995,144.509995,145.910004
2023-02-14,145.729996,147.130005,144.559998,145.490005
2023-02-15,144.960007,146.600006,144.559998,146.570007
2023-02-16,145.479996,145.990005,144.179993,144.270004
2023-02-17,145.110001,146.690002,144.570007,146.440002
2023-02-21,142.880005,148.339996,142.149994,147.330002
2023-02-22,146.770004,147.570007,142.759995,144.240005
2023-02-23,144.369995,144.369995,140.710007,142.089996
2023-02-24,140.839996,142.740005,139.529999,142.470001
2023-02-27,142.710007,143.089996,140.660004,141.440002
2023-02-28,141.0,142.649994,140.949997,142.130005
2023-03-01,141.059998,141.279999,139.369995,140.149994
2023-03-02,139.839996,140.740005,139.5,140.5
2023-03-03,141.039993,141.190002,139.770004,140.669998
2023-03-06,140.5,140.979996,140.020004,140.649994
2023-03-07,141.179993,141.679993,138.789993,139.25
2023-03-08,138.559998,138.919998,137.279999,138.100006
2023-03-09,138.830002,138.979996,136.919998,137.169998
2023-03-10,137.020004,138.279999,136.089996,136.970001
2023-03-13,136.679993,138.5,136.580002,137.369995
2023-03-14,137.690002,138.270004,137.0,138.100006
2023-03-15,136.889999,139.809998,136.710007,139.639999
2023-03-16,139.429993,139.649994,137.880005,138.279999
2023-03-17,138.190002,139.490005,137.589996,139.399994
2023-03-20,140.100006,141.919998,139.809998,140.899994
2023-03-21,141.389999,141.389999,139.529999,140.419998
2023-03-22,140.639999,141.220001,139.460007,139.520004
2023-03-23,140.199997,141.610001,139.490005,140.649994
2023-03-24,141.009995,142.470001,140.600006,141.800003
2023-03-27,142.789993,144.979996,142.779999,144.169998
2023-03-28,143.649994,144.410004,143.050003,143.610001
2023-03-29,144.369995,144.960007,143.449997,144.229996
2023-03-30,145.5,146.600006,145.020004,145.669998
2023-03-31,146.580002,148.440002,146.470001,147.449997
